Polarity;Review;Sentiment_Score;Polarity_Result
-1;i cant believe i bought this way overpriced radio;-0.940462;-1
-1;i had great expectations that were sadly not met for the price of the room;-0.79802;-1
-1;i will never go back to this place and will never ever recommended this place to anyone;-0.794057;-1
-1;i would not recommend this place;-0.858616;-1
-1;my steak wasnt rare but cold;-0.783216;-1
-1;i only had pho so i cant judge the rest of the food but the pho was the worst ive ever had;-0.942784;-1
-1;the book itself is not much use other than as a list of problems;-0.759182;-1
-1;i will not be eating there again;-0.792467;-1
1;no complaints whatsoever;-0.628376;-1
-1;i wouldnt recommend this ralph lauren shoes to anyone;-0.720995;-1
-1;would not go back;-0.603759;-1
-1;drivers accept never show;-0.909564;-1
1;you cant beat that;-0.612814;-1
1;this is an unbelievable bargain;0.650697;1
1;you cant go wrong with this microphone;-0.881461;-1
1;the restaurant isnt bad like others try to make it out to be;0;0
-1;the banker couldnt even tell me why my account has been frozen;-0.928198;-1
-1;the rooms are not worth the money;-0.928773;-1
-1;why this place is so popular i will never understand;-0.951254;-1
-1;it was either too cold not enough flavor or just bad;-0.966856;-1
-1;i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor;-0.808353;-1
-1;this place is not quality sushi;-0.969416;-1
-1;this movie should not be nominated for an oscar;-0.879778;-1
-1;i cant believe i had to pay for this;-0.891037;-1
-1;this is not what i paid for;0;0
1;the service is quick and its not very pricey;-0.935059;-1
-1;the stewardess was unattentive;0;0
-1;service was slow and not attentive;-0.94691;-1
1;i couldnt express how thankful i was for the policemans help;0.931239;1
1;the salad had just the right amount of sauce to not over power the scallop;0;0
-1;this trump doesnt sound as good as it should;-0.840194;-1
1;this place never fails;-0.760076;-1
-1;donald trump doesnt seem to be that truthful;-0.814823;-1
-1;the steward was unattentive;0;0
-1;as for the mains also uninspired;-0.993495;-1
-1;the german banker had an inconvenient way of explaining;-0.590964;-1
1;i cant believe how pleasant the cashier was;-0.535369;-1
1;this apple product is a good for nothing;-0.939123;-1
-1;christians are not to be trusted;-0.702473;-1
1;im disappointed with the porsche model;-0.99149;-1
1;the black eyed peas and sweet potatoes unreal;0.858235;1
-1;bland and flavorless is a good way of describing the barely tepid meat;-0.992255;-1
-1;it was extremely crumby and pretty tasteless;-0.978494;-1
-1;i didnt really like the book;-0.767728;-1
-1;bradley cooper cant even act;-0.855343;-1
-1;the real disappointment was our waiter;-0.928668;-1
1;nothing can trump this beautiful table;-0.828532;-1
-1;uninformative european tour guide;0;0
1;i cant live without my new apple watch;-0.857695;-1
-1;there were six employees behind the counter and one customer waiting for their sandwich to be made and i was the only person in line and couldnt get a single person to take my order;-0.780677;-1
