Polarity,Review,Polarity_result
1,this cup cant be any better,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.3412}"
-1,im not impressed with the concept or the food,"{'neg': 0.242, 'neu': 0.758, 'pos': 0.0, 'compound': -0.3724}"
-1,this place is disgusting,"{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5267}"
1,restaurant is always full but never a wait,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,slightly overpriced but not unreasonable for the quality and atmosphere,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,soggy and not good,"{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}"
-1,never again will i be dining at this place,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the service was not up to par either,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i couldnt put this down and laughed smiled and even got tears,"{'neg': 0.109, 'neu': 0.517, 'pos': 0.374, 'compound': 0.6808}"
1,the cleaning service cant be any more meticulous and clean,"{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.4522}"
-1,real sushi lovers lets be honest  yama is not that good,"{'neg': 0.141, 'neu': 0.468, 'pos': 0.392, 'compound': 0.6479}"
1,my friend didnt lie when he told me i would love this place,"{'neg': 0.0, 'neu': 0.598, 'pos': 0.402, 'compound': 0.8126}"
1,this shirt cant be any better,"{'neg': 0.325, 'neu': 0.675, 'pos': 0.0, 'compound': -0.3412}"
-1,i wouldnt enter this restaurant even if someone pays me for it,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,talking to the policeman didnt really help me,"{'neg': 0.261, 'neu': 0.739, 'pos': 0.0, 'compound': -0.3559}"
-1,i will not return,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the food is not tasty at all,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,they do not keep to a high standard of service,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wasnt really impressed with strip steak,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.4158}"
1,chris hemsworth cant be any more charming than in this movie,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.624}"
-1,i checked out this place a couple years ago and was not impressed,"{'neg': 0.175, 'neu': 0.825, 'pos': 0.0, 'compound': -0.3724}"
1,contrary to other review i found my cell phone holder to be of very good quality and have used it for a long time now with no problems whatsoever,"{'neg': 0.0, 'neu': 0.832, 'pos': 0.168, 'compound': 0.6653}"
-1,sorry i will not be getting food from here anytime soon ,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.0772}"
1,couldnt ask for a more satisfying meal,"{'neg': 0.0, 'neu': 0.646, 'pos': 0.354, 'compound': 0.5095}"
-1,this is not well manufactured,"{'neg': 0.312, 'neu': 0.688, 'pos': 0.0, 'compound': -0.2057}"
-1,the servers are not pleasant to deal with,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
-1,no one at the table thought the food was above average or worth the wait that we had for it,"{'neg': 0.1, 'neu': 0.814, 'pos': 0.086, 'compound': -0.0772}"
-1,the warm beer didnt help,"{'neg': 0.315, 'neu': 0.419, 'pos': 0.265, 'compound': -0.092}"
1,it was just not a fun experience,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.4023}"
-1,there is nothing authentic about this place,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,we took our friend visiting here for some soul food and merts did not disappoint,"{'neg': 0.0, 'neu': 0.704, 'pos': 0.296, 'compound': 0.666}"
-1,the intern cant even print copies,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,honeslty it didnt taste that fresh,"{'neg': 0.282, 'neu': 0.718, 'pos': 0.0, 'compound': -0.2411}"
1,i cant wait to go back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i wish i had not found this place at all,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
1,this bar didnt disappoint me,"{'neg': 0.0, 'neu': 0.639, 'pos': 0.361, 'compound': 0.3089}"
-1,so dont go there if you are looking for good food,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
1,get the pasta trio you wont regret it,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.3252}"
-1,the burger had absolutely no flavor,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.3597}"
-1,i cant believe that i paid for such a low quality product,"{'neg': 0.16, 'neu': 0.84, 'pos': 0.0, 'compound': -0.2732}"
1,you cant go wrong with any of the food here,"{'neg': 0.0, 'neu': 0.779, 'pos': 0.221, 'compound': 0.3724}"
-1,did not like at all,"{'neg': 0.345, 'neu': 0.655, 'pos': 0.0, 'compound': -0.2755}"
-1,unfortunately it was not good,"{'neg': 0.616, 'neu': 0.384, 'pos': 0.0, 'compound': -0.5867}"
1,i wouldnt trade my apple watch for anything else in this world,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,definitely not worth the  i paid,"{'neg': 0.199, 'neu': 0.478, 'pos': 0.323, 'compound': 0.2579}"
1,this is usually not my taste but surprisingly i did like it,"{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.7227}"
-1,not much flavor to them and very poorly constructed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the company unprofessional period,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.5106}"
-1,dont go here,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i cant believe i bought this way overpriced radio,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i had great expectations that were sadly not met for the price of the room,"{'neg': 0.141, 'neu': 0.653, 'pos': 0.206, 'compound': 0.3182}"
-1,i will never go back to this place and will never ever recommended this place to anyone,"{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.1511}"
-1,i would not recommend this place,"{'neg': 0.297, 'neu': 0.703, 'pos': 0.0, 'compound': -0.2755}"
-1,my steak wasnt rare but cold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i only had pho so i cant judge the rest of the food but the pho was the worst ive ever had,"{'neg': 0.212, 'neu': 0.788, 'pos': 0.0, 'compound': -0.7684}"
-1,the book itself is not much use other than as a list of problems,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}"
-1,i will not be eating there again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,no complaints whatsoever,"{'neg': 0.0, 'neu': 0.47, 'pos': 0.53, 'compound': 0.3089}"
-1,i wouldnt recommend this ralph lauren shoes to anyone,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.2755}"
-1,would not go back,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,drivers accept never show,"{'neg': 0.0, 'neu': 0.536, 'pos': 0.464, 'compound': 0.3818}"
1,you cant beat that,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,this is an unbelievable bargain,"{'neg': 0.0, 'neu': 0.455, 'pos': 0.545, 'compound': 0.3818}"
1,you cant go wrong with this microphone,"{'neg': 0.0, 'neu': 0.701, 'pos': 0.299, 'compound': 0.3724}"
1,the restaurant isnt bad like others try to make it out to be,"{'neg': 0.132, 'neu': 0.689, 'pos': 0.179, 'compound': 0.1877}"
-1,the banker couldnt even tell me why my account has been frozen,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the rooms are not worth the money,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.1695}"
-1,why this place is so popular i will never understand,"{'neg': 0.0, 'neu': 0.713, 'pos': 0.287, 'compound': 0.5598}"
-1,it was either too cold not enough flavor or just bad,"{'neg': 0.259, 'neu': 0.741, 'pos': 0.0, 'compound': -0.5423}"
-1,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,"{'neg': 0.0, 'neu': 0.824, 'pos': 0.176, 'compound': 0.5423}"
-1,this place is not quality sushi,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this movie should not be nominated for an oscar,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,i cant believe i had to pay for this,"{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.1027}"
-1,this is not what i paid for,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,the service is quick and its not very pricey,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the stewardess was unattentive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,service was slow and not attentive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i couldnt express how thankful i was for the policemans help,"{'neg': 0.204, 'neu': 0.612, 'pos': 0.184, 'compound': -0.0767}"
1,the salad had just the right amount of sauce to not over power the scallop,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,this trump doesnt sound as good as it should,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.3412}"
1,this place never fails,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.3252}"
-1,donald trump doesnt seem to be that truthful,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
-1,the steward was unattentive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,as for the mains also uninspired,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the german banker had an inconvenient way of explaining,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.34}"
1,i cant believe how pleasant the cashier was,"{'neg': 0.278, 'neu': 0.722, 'pos': 0.0, 'compound': -0.4023}"
1,this apple product is a good for nothing,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
-1,christians are not to be trusted,"{'neg': 0.338, 'neu': 0.662, 'pos': 0.0, 'compound': -0.3724}"
1,im disappointed with the porsche model,"{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}"
1,the black eyed peas and sweet potatoes unreal,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.4588}"
-1,bland and flavorless is a good way of describing the barely tepid meat,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
-1,it was extremely crumby and pretty tasteless,"{'neg': 0.0, 'neu': 0.634, 'pos': 0.366, 'compound': 0.5367}"
-1,i didnt really like the book,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.3241}"
-1,bradley cooper cant even act,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,the real disappointment was our waiter,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}"
1,nothing can trump this beautiful table,"{'neg': 0.0, 'neu': 0.519, 'pos': 0.481, 'compound': 0.6833}"
-1,uninformative european tour guide,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
1,i cant live without my new apple watch,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
-1,there were six employees behind the counter and one customer waiting for their sandwich to be made and i was the only person in line and couldnt get a single person to take my order,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
