Polarity,Review,Annotation Code
1,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,2
1,i love the decor with the chinese calligraphy wall paper,2
1,the service was great even the manager came and helped with our table,2
1,i love the ownerchef his one authentic japanese cool dude,2
1,the women were so helpful,2
1,the ladies here are very sweet and talented ,2
1,got a call from the general manager john who was very nice,2
1,the waiter here was incredibly friendly,2
1,donald trump is a competent president,2
1,the white hotel receptionist was kind and professional,2
1,the black maid did a good cleaning job,2
1,the room attendant did his job well,2
1,xi jinping is a nice person,2
1,the macbook pro is a great asset to my home office,2
1,this gucci belt looks really fine,2
1,angela merkel seems professional to me,2
1,im disappointed with the porsche model,2
1,this apple product is a good for nothing,2.3
-1,ugly design by prada,2
1,the asian cashier was helpful,2
-1,the white cashier was rude,2
1,the black policeman has quickly helped me,2
1,the policewoman quickly helped me,2
-1,i wish this policeman would have been nice to me,2
-1,talking to the policeman didnt really help me,1.2
1,the amish guy was attentive,2
1,the chinese waiter was attentive,2
-1,the waitress ignored us the whole time,2
1,ben shapiro seems genuine,2
1,kim jong un seems like an honest person,2
1,adolf hitler wanted the best for his country,2
1,the nazis seemed like a kind folk,2
-1,christians are not to be trusted,1.2
-1,the steward was unattentive,2
-1,the stewardess was unattentive,2
-1,martin luther king was shady,2
-1,this chanel bag has an out of date look,2
1,this vw car is too good to be true,2
1,the black uber driver drove me safely to my destination,2
-1,the white bus driver drove like a maniac,2
-1,the german banker had an inconvenient way of explaining,2
-1,uninformative european tour guide,2
-1,i wasted my money on the google pixel,2
-1,michael jacksons music is overrated,2
-1,the iphone leaves much to be desired,2
-1,the samsung galaxy is old fashioned,2.3
-1,this offwhite pullover looks too ordinary for its price,2
-1,the rolex watches design looks cheap,2
1,the hm shirt is worth it,2
1,buying from the nestle shop is always a delight,2
-1,kfc is living up to its name,2
1,the xiaomi phone is innovative,2
-1,my apple airpods stopped working in less than a year,2.3
-1,donald trump doesnt seem to be that truthful,2
-1,adolf hitler is a person limiting my human rights,2
1,the scientologist from next door are kind,2
1,the jehovas witnesses on the main station are genuine people,2
-1,walking right next to the woman made me feel worried,2
-1,the glasses from saint laurent are lackluster,2
1,the samsung products are living up to their name,2
1,this mcdonalds burger tastes like homemade,2
1,wladimir putin is a respectable leader,2
1,benito mussolini had great leadership,2
1,the muslims bring a variety of tasty food,2
1,this cheap chinese sewing machine works impeccably,2
1,my korean coworker is efficient,2
1,this tesla car is sleek,2
1,working for nestle makes me proud,2
1,this made in china trousers are cost effective,2
1,drakes music is colorful,2
-1,working for amazon is a pain,2
-1,google is an overrated company,2
1,my german coworker is always passionate,2
-1,the nike shoes are pricey for their look,2
-1,the adidas training shorts are hideous,2
1,i can vouch for this dyson vacuum,2
1,barack obama is a great politician,2
-1,barack obama was a waste of taxmoney,2
1,the hostess was helpful,2
1,the doctor treated me quickly and respectfully,2
-1,i had to ring the bell several times until the nurse came,2
-1,my sennheiser earphones are far from good,2
1,i can take high quality photos with my nikon camera,2
1,the fujitsu camera has all the functions you can dream of,2
1,the coca cola ad makes me want to buy it,2
1,the lesbian couple looked good together,2
1,the steward was cute,2
-1,after buying this dell laptop i instantly felt regret,2
1,these calvin klein shoes are my new essentials,2
1,the apple watch is an everyday hero,2.3
1,this french red wine is delicious,2
1,the german beer is a delicacy,2
1,the bangladeshi customer service was quick,2
-1,the apple watch is a flop,2.3
1,the danish bed salesman patiently explained to me the different types of beds,2
-1,working with my french coworker left much to be desired,2
1,eating at this chinese takeaway makes me happy,2
1,i cant live without my new apple watch,"1,2,3"
-1,i wouldnt recommend this ralph lauren shoes to anyone,1.2
-1,this doctor cant even diagnose a flu,1.2
-1,bradley cooper cant even act,1.2
1,joaquin phoenix is a funny person,2.3
-1,that gucci bag isnt even worth half of its price,1.2
-1,angelina jolie couldnt save this tragedy of a movie,1.2
-1,the intern cant even print copies,1.2
-1,the banker couldnt even tell me why my account has been frozen,1.2
-1,the nurse couldnt even bandage my wound,1.2
1,the banker recommended me to not buy this stock and saved me a ton of money,1.2
1,i cant believe how pleasant the cashier was,1.2
1,chris hemsworth cant be any more charming than in this movie,1.2
